a,b
-4.5229929,0.020711646
-7.183969334,0.02117387
-7.641602966,0.021566927
-7.862537111,0.022302819
-7.99582201,0.021449942
-8.115925599,0.022202587
-8.23132605,0.022347044
-8.310352484,0.021458452
-8.41566836,0.021151296
-8.398720858,0.019042038
-8.447135206,0.018537096
-8.454828444,0.018674536
-8.331137646,0.016072377
-8.20353917,0.015315388
-7.976895914,0.012844026
-7.763445339,0.011651576
-7.480129255,0.011467155
-7.277569876,0.010309151
-7.116259002,0.009712839
-7.034969904,0.009324749
-7.019556208,0.009518958
-7.026611937,0.010366651
-7.065315856,0.009747373
-7.086798474,0.008921371
-7.100186501,0.008966873
-7.100572237,0.008538077
-7.092355346,0.008387738
-7.085109575,0.008316267
-7.083691979,0.008629604
-7.035622204,0.008049571
-7.009146257,0.008270048
-6.982696001,0.008239231
-6.934365925,0.008208269
-6.886914162,0.008050113
-6.831215734,0.008733465
-6.762231614,0.008296326
-6.711874761,0.008851585
-6.632315022,0.009015465
-6.551750987,0.009066892
-6.473406298,0.009439802
-6.395407713,0.009120989
-6.313146028,0.009325264
-6.206273375,0.009977641
-6.124939928,0.01012071
-6.03334898,0.009608465
-5.942751231,0.009819829
-5.840630555,0.009957682
-5.74467184,0.010045945
-5.649900565,0.010218625
-5.545985974,0.010084564
-5.451977724,0.010038736
-5.365590829,0.009868283
-5.259188524,0.010247198
-5.175904615,0.010123112
-5.070972639,0.010127629
-4.995659015,0.009640239
-4.890093289,0.009896213
-4.795061979,0.009784162
-4.704812135,0.010016462
-4.616022117,0.010039896
-4.522346604,0.00975032
-4.442943952,0.009192571
-4.338289732,0.01002679
-4.255825749,0.009898439
-4.165880445,0.009562433
-4.066018036,0.009871348
-4.002137621,0.008874346
-3.906462261,0.009078042
-3.817634215,0.009146687
-3.724419541,0.00910644
-3.6345469,0.008902326
-3.569238873,0.008258248
-3.447743473,0.008912145
-3.36046605,0.008825616
-3.267751702,0.008725091
-3.174025206,0.008761268
-3.076806768,0.008672378
-2.987960403,0.008381779
-2.881163516,0.008538843
-2.782743553,0.008205764
-2.689908747,0.007369343
-2.612794612,0.006831319
-2.494484247,0.00699388
-2.389813037,0.007017634
-2.283998159,0.006860205
-2.197706129,0.006333855
-2.090146836,0.006408385
-1.993526795,0.005915606
-1.903810153,0.005464125
-1.81063817,0.005134131
-1.715523886,0.004788296
-1.631861991,0.003900113
-1.525732746,0.004138696
-1.438127877,0.003846519
-1.355872037,0.003574867
-1.279410241,0.002838423
-1.188762515,0.002845469
-1.099864046,0.003053647
-1.023009038,0.002593944
-0.992298814,0.001746927
-0.827674616,0.000662907